date,adj_close,
01/07/2020,188.69,
01/06/2020,189.19,
01/03/2020,189.6,
01/02/2020,191.12,
12/31/2019,187.9,
12/30/2019,187.83,
12/27/2019,189.39,
12/26/2019,189.16,
12/24/2019,187.57,
12/23/2019,187.08,
12/20/2019,188,
12/19/2019,186.54,
12/18/2019,184.9,
12/17/2019,185.52,
12/16/2019,186.24,
12/13/2019,185.14,
12/12/2019,182.64,
12/11/2019,182.01,
12/10/2019,182.26,
12/09/2019,182.92,
12/06/2019,182.17,
12/05/2019,181.89,
12/04/2019,180.6,
12/03/2019,181.9,
12/02/2019,181.79,
11/29/2019,184.51,
11/27/2019,184.37,
11/26/2019,182.55,
11/25/2019,180.97,
11/22/2019,179.47,
11/21/2019,179.89,
11/20/2019,181.66,
11/19/2019,182.77,
11/18/2019,179.66,
11/15/2019,179.77,
11/14/2019,179.75,
11/13/2019,179.41,
11/12/2019,179.74,
11/11/2019,179.54,
11/08/2019,178.97,
11/07/2019,178.43,
11/06/2019,176.77,
11/05/2019,176.37,
11/04/2019,178.95,
11/01/2019,180.93,
10/31/2019,178.86,
10/30/2019,179.25,
10/29/2019,177.63,
10/28/2019,179.84,
10/25/2019,177.85,
10/24/2019,176.16,
10/23/2019,171.32,
10/22/2019,170.86,
10/21/2019,176.43,
10/18/2019,175.71,
10/17/2019,177.94,
10/16/2019,177.87,
10/15/2019,178.75,
10/14/2019,177.36,
10/11/2019,177.06,
10/10/2019,174.88,
10/09/2019,174.88,
10/08/2019,172.42,
10/07/2019,174.9,
10/04/2019,175.98,
10/03/2019,172.87,
10/02/2019,169.83,
10/01/2019,174.29,
09/30/2019,172.01,
09/27/2019,174,
09/26/2019,175.65,
09/25/2019,175.28,
09/24/2019,174.48,
09/23/2019,174.91,
09/20/2019,174.06,
09/19/2019,175.96,
09/18/2019,175.29,
09/17/2019,176.45,
09/16/2019,176.11,
09/13/2019,177.27,
09/12/2019,177.98,
09/11/2019,174.98,
09/10/2019,176.35,
09/09/2019,181.55,
09/06/2019,185.74,
09/05/2019,184.73,
09/04/2019,181.77,
09/03/2019,179.2,
08/30/2019,180.82,
08/29/2019,181.17,
08/28/2019,178.67,
08/27/2019,178.38,
08/26/2019,177.59,
08/23/2019,175.23,
08/22/2019,180.09,
08/21/2019,180.94,
08/20/2019,179.24,
08/19/2019,179.74,
08/16/2019,178.23,
08/15/2019,176.27,
08/14/2019,173.51,
08/13/2019,178.61,
08/12/2019,176.34,
08/09/2019,179.05,
08/08/2019,179.9,
08/07/2019,175.32,
08/06/2019,172.48,
08/05/2019,168.86,
08/02/2019,177.42,
08/01/2019,179.17,
07/31/2019,178,
07/30/2019,181.53,
07/29/2019,183.21,
07/26/2019,183.69,
07/25/2019,181.59,
07/24/2019,183.33,
07/23/2019,180.9,
07/22/2019,180.57,
07/19/2019,179.24,
07/18/2019,180.53,
07/17/2019,179.15,
07/16/2019,179.31,
07/15/2019,180.57,
07/12/2019,180.33,
07/11/2019,180.74,
07/10/2019,179.31,
07/09/2019,177.73,
07/08/2019,176.19,
07/05/2019,176.66,
07/03/2019,176.87,
07/02/2019,175.28,
07/01/2019,173.94,
06/28/2019,173.55,
06/27/2019,171.23,
06/26/2019,171.06,
06/25/2019,171.28,
06/24/2019,173.85,
06/21/2019,173.44,
06/20/2019,173.74,
06/19/2019,170.69,
06/18/2019,169.28,
06/17/2019,169.56,
06/14/2019,169.66,
06/13/2019,169.35,
06/12/2019,171.59,
06/11/2019,170.31,
06/10/2019,170.82,
06/07/2019,170.05,
06/06/2019,166.92,
06/05/2019,165.39,
06/04/2019,162.33,
06/03/2019,158.6,
05/31/2019,161.33,
05/30/2019,162.76,
05/29/2019,162.73,
05/28/2019,163.71,
05/24/2019,162.64,
05/23/2019,161.51,
05/22/2019,164.24,
05/21/2019,163.86,
05/20/2019,163.47,
05/17/2019,164.09,
05/16/2019,164.87,
05/15/2019,162.79,
05/14/2019,160.21,
05/13/2019,157.33,
05/10/2019,160.71,
05/09/2019,159.81,
05/08/2019,160.76,
05/07/2019,160.21,
05/06/2019,162.28,
05/03/2019,162.04,
05/02/2019,161.12,
05/01/2019,162.79,
04/30/2019,164.43,
04/29/2019,164.15,
04/26/2019,162.93,
04/25/2019,161.02,
04/24/2019,161.49,
04/23/2019,161.66,
04/22/2019,160.4,
04/18/2019,160.16,
04/17/2019,160.44,
04/16/2019,160.23,
04/15/2019,160.44,
04/12/2019,159.64,
04/11/2019,157.86,
04/10/2019,158.56,
04/09/2019,157.49,
04/08/2019,157.75,
04/05/2019,157.65,
04/04/2019,157.64,
04/03/2019,158.46,
04/02/2019,157.78,
04/01/2019,157.26,
03/29/2019,156.19,
03/28/2019,154.67,
03/27/2019,154.22,
03/26/2019,155.3,
03/25/2019,153.03,
03/22/2019,153.07,
03/21/2019,155.8,
03/20/2019,153.75,
03/19/2019,154.59,
03/18/2019,154.96,
03/15/2019,155.46,
03/14/2019,154.2,
03/13/2019,152.47,
03/12/2019,151.73,
03/11/2019,150.67,
03/08/2019,147.35,
03/07/2019,146.83,
03/06/2019,147.81,
03/05/2019,147.95,
03/04/2019,147.96,
03/01/2019,149.47,
02/28/2019,148.12,
02/27/2019,147.22,
02/26/2019,147.04,
02/25/2019,146.06,
02/22/2019,145.87,
02/21/2019,144,
02/20/2019,144.73,
02/19/2019,144.44,
02/15/2019,144.91,
02/14/2019,143.16,
02/13/2019,143.49,
02/12/2019,141.99,
02/11/2019,140.8,
02/08/2019,140.38,
02/07/2019,140.17,
02/06/2019,141.49,
02/05/2019,142.53,
02/04/2019,141.5,
02/01/2019,140.15,
01/31/2019,135.01,
01/30/2019,137.6,
01/29/2019,135,
01/28/2019,135.99,
01/25/2019,138.67,
01/24/2019,137.7,
01/23/2019,137.01,
01/22/2019,138.05,
01/18/2019,138.5,
01/17/2019,137.28,
01/16/2019,137.34,
01/15/2019,137.34,
01/14/2019,137.1,
01/11/2019,138.06,
01/10/2019,138.67,
01/09/2019,138.41,
01/08/2019,136.8,
01/07/2019,136.06,
01/04/2019,133.65,
01/03/2019,128.13,
01/02/2019,132.92,
12/31/2018,131.94,
12/28/2018,130.94,
12/27/2018,132.01,
12/26/2018,130.23,
12/24/2018,121.73,
12/21/2018,124.26,
12/20/2018,128.76,
12/19/2018,131.26,
12/18/2018,132.66,
12/17/2018,131.4,
12/14/2018,135.09,
12/13/2018,137.54,
12/12/2018,137.8,
12/11/2018,136.81,
12/10/2018,137.88,
12/07/2018,137.11,
12/06/2018,141.05,
12/04/2018,138.64,
12/03/2018,145,
11/30/2018,141.71,
11/29/2018,139.1,
11/28/2018,141.38,
11/27/2018,135.91,
11/26/2018,135.94,
11/23/2018,132.87,
11/21/2018,134.42,
11/20/2018,133.37,
11/19/2018,134.76,
11/16/2018,140.18,
11/15/2018,141.84,
11/14/2018,139.49,
11/13/2018,139.72,
11/12/2018,139.72,
11/09/2018,143.93,
11/08/2018,145.23,
11/07/2018,144.78,
11/06/2018,140.79,
11/05/2018,139.8,
11/02/2018,139.78,
11/01/2018,140.83,
10/31/2018,137.85,
10/30/2018,132.76,
10/29/2018,134.33,
10/26/2018,137.74,
10/25/2018,140.52,
10/24/2018,134.26,
10/23/2018,139.12,
10/22/2018,140.64,
10/19/2018,140.08,
10/18/2018,139.29,
10/17/2018,142.45,
10/16/2018,141.74,
10/15/2018,137.23,
10/12/2018,140.06,
10/11/2018,133.73,
10/10/2018,135.52,
10/09/2018,142.31,
10/08/2018,141.89,
10/05/2018,145.36,
10/04/2018,146.76,
10/03/2018,149.37,
10/02/2018,149.67,
10/01/2018,150.79,
09/28/2018,150.09,
09/27/2018,150.02,
09/26/2018,149.27,
09/25/2018,149.58,
09/24/2018,149.11,
09/21/2018,150.05,
09/20/2018,149.24,
09/19/2018,147.42,
09/18/2018,147.63,
09/17/2018,146.18,
09/14/2018,147.84,
09/13/2018,147.63,
09/12/2018,146.57,
09/11/2018,145.49,
09/10/2018,144.08,
09/07/2018,143.2,
09/06/2018,144.5,
09/05/2018,142.67,
09/04/2018,147.8,
08/31/2018,146.89,
08/30/2018,146.74,
08/29/2018,147.03,
08/28/2018,145.2,
08/27/2018,145.4,
08/24/2018,144.2,
08/23/2018,142.1,
08/22/2018,141.14,
08/21/2018,140.04,
08/20/2018,140.94,
08/17/2018,141.33,
08/16/2018,140.65,
08/15/2018,139.92,
08/14/2018,140.76,
08/13/2018,140.21,
08/10/2018,139.73,
08/09/2018,140.01,
08/08/2018,140.68,
08/07/2018,140.28,
08/06/2018,139.71,
08/03/2018,139.82,
08/02/2018,138.92,
08/01/2018,138.25,
07/31/2018,136.74,
07/30/2018,136.48,
07/27/2018,140.71,
07/26/2018,142.5,
07/25/2018,142.64,
07/24/2018,140.03,
07/23/2018,140.03,
07/20/2018,140.99,
07/19/2018,140.13,
07/18/2018,140.9,
07/17/2018,139.64,
07/16/2018,138.46,
07/13/2018,139.42,
07/12/2018,139.9,
07/11/2018,138.15,
07/10/2018,136.69,
07/09/2018,135.52,
07/06/2018,134.09,
07/05/2018,133.29,
07/03/2018,131.45,
07/02/2018,132.5,
06/29/2018,132.45,
06/28/2018,132.74,
06/27/2018,131.02,
06/26/2018,132.55,
06/25/2018,130.93,
06/22/2018,135.33,
06/21/2018,134.53,
06/20/2018,135.5,
06/19/2018,135.11,
06/18/2018,136.2,
06/15/2018,135.1,
06/14/2018,135,
06/13/2018,134.4,
06/12/2018,134.86,
06/11/2018,133.91,
06/08/2018,134.74,
06/07/2018,133.84,
06/06/2018,136.28,
06/05/2018,133.56,
06/04/2018,133.07,
06/01/2018,130.85,
05/31/2018,130.72,
05/30/2018,130.64,
05/29/2018,129.69,
05/25/2018,131.28,
05/24/2018,131.89,
05/23/2018,131.88,
05/22/2018,130.71,
05/21/2018,130.66,
05/18/2018,129.93,
05/17/2018,129.93,
05/16/2018,130.89,
05/15/2018,131.1,
05/14/2018,131.21,
05/11/2018,131.82,
05/10/2018,131,
