date,adj_close,,
01/20/2023,376.28,,
01/19/2023,367.94,,
01/18/2023,368.92,,
01/17/2023,375,,
01/13/2023,375.52,,
01/12/2023,379.81,,
01/11/2023,377.86,,
01/10/2023,371.01,,
01/09/2023,370.97,,
01/06/2023,367.67,,
01/05/2023,351.77,,
01/04/2023,355.15,,
01/03/2023,346.8,,
12/30/2022,347.73,,
12/29/2022,348.21,,
12/28/2022,341.95,,
12/27/2022,346.16,,
12/23/2022,343.6,,
12/22/2022,341.52,,
12/21/2022,345.69,,
12/20/2022,342.95,,
12/19/2022,341.26,,
12/16/2022,345.84,,
12/15/2022,346.25,,
12/14/2022,357.51,,
12/13/2022,357.15,,
12/12/2022,358.17,,
12/09/2022,348.83,,
12/08/2022,351.17,,
12/07/2022,347.42,,
12/06/2022,347.53,,
12/05/2022,356.09,,
12/02/2022,360.06,,
12/01/2022,360.8,,
11/30/2022,356.4,,
11/29/2022,343.13,,
11/28/2022,344.59,,
11/25/2022,351.29,,
11/23/2022,348.64,,
11/22/2022,344.96,,
11/21/2022,338.25,,
11/18/2022,343.69,,
11/17/2022,341.27,,
11/16/2022,342.76,,
11/15/2022,343.51,,
11/14/2022,339.37,,
11/11/2022,339.29,,
11/10/2022,337.27,,
11/09/2022,315.64,,
11/08/2022,325.75,,
11/07/2022,325.13,,
11/04/2022,318.37,,
11/03/2022,309.17,,
11/02/2022,319.82,,
11/01/2022,333.19,,
10/31/2022,328.18,,
10/28/2022,329.47,,
10/27/2022,319.37,,
10/26/2022,319.51,,
10/25/2022,311.41,,
10/24/2022,305.6,,
10/21/2022,302.37,,
10/20/2022,296.28,,
10/19/2022,297.76,,
10/18/2022,300.38,,
10/17/2022,295.04,,
10/14/2022,288.69,,
10/13/2022,293.96,,
10/12/2022,283.38,,
10/11/2022,286.05,,
10/10/2022,291.78,,
10/07/2022,294.97,,
10/06/2022,299.23,,
10/05/2022,304.2,,
10/04/2022,301.27,,
10/03/2022,290.48,,
09/30/2022,284.34,,
09/29/2022,286.77,,
09/28/2022,290.18,,
09/27/2022,286.48,,
09/26/2022,290.11,,
09/23/2022,293.58,,
09/22/2022,298.36,,
09/21/2022,304.5,,
09/20/2022,313.27,,
09/19/2022,314.03,,
09/16/2022,315.13,,
09/15/2022,316.96,,
09/14/2022,325.85,,
09/13/2022,325.44,,
09/12/2022,338.42,,
09/09/2022,335.85,,
09/08/2022,330.07,,
09/07/2022,328.62,,
09/06/2022,324.08,,
09/02/2022,322.56,,
09/01/2022,325.25,,
08/31/2022,324.37,,
08/30/2022,327.81,,
08/29/2022,329.35,,
08/26/2022,331.96,,
08/25/2022,344.67,,
08/24/2022,339.71,,
08/23/2022,340.89,,
08/22/2022,345.51,,
08/19/2022,354.28,,
08/18/2022,357.36,,
08/17/2022,355.33,,
08/16/2022,359.25,,
08/15/2022,359.95,,
08/12/2022,354.27,,
08/11/2022,350.58,,
08/10/2022,353.38,,
08/09/2022,346.54,,
08/08/2022,352.16,,
08/05/2022,357.51,,
08/04/2022,356.07,,
08/03/2022,354.13,,
08/02/2022,349.01,,
08/01/2022,350.54,,
07/29/2022,353.79,,
07/28/2022,352.45,,
07/27/2022,343.27,,
07/26/2022,341.28,,
07/25/2022,344.21,,
07/22/2022,343.88,,
07/21/2022,346.92,,
07/20/2022,341.27,,
07/19/2022,340.38,,
07/18/2022,331.01,,
07/15/2022,332.57,,
07/14/2022,325.03,,
07/13/2022,323.37,,
07/12/2022,322.86,,
07/11/2022,324.19,,
07/08/2022,323.06,,
07/07/2022,324.07,,
07/06/2022,320.17,,
07/05/2022,319.26,,
07/01/2022,318.24,,
06/30/2022,315.48,,
06/29/2022,322.59,,
06/28/2022,318.29,,
06/27/2022,328.83,,
06/24/2022,330.5,,
06/23/2022,316.76,,
06/22/2022,316.15,,
06/21/2022,317.4,,
06/17/2022,310.69,,
06/16/2022,308.78,,
06/15/2022,325.39,,
06/14/2022,322.14,,
06/13/2022,319.74,,
06/10/2022,334.75,,
06/09/2022,349,,
06/08/2022,362.33,,
06/07/2022,364.02,,
06/06/2022,360.14,,
06/03/2022,357.82,,
06/02/2022,363.08,,
06/01/2022,357.06,,
05/31/2022,357.87,,
05/27/2022,357.78,,
05/26/2022,349.89,,
05/25/2022,344.76,,
05/24/2022,340.69,,
05/23/2022,348.43,,
05/20/2022,336.18,,
05/19/2022,332.22,,
05/18/2022,335.9,,
05/17/2022,338.86,,
05/16/2022,329.73,,
05/13/2022,332.8,,
